,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,Edvnburgh,,gneiss - quartz,,,,,,1,,ROBERT GRAY,1,193
1,1,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - points - Edvnburgh",,gneiss - quartz,,,,,,1,,ROBERT GRAY,1,193
2,2,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - West Loch Tarbert - S. - S.W.",7 x 53 x 3 - height : 3 feet,schistose,,,height above sea level : 400 feet - height above sea level : 200 feet,"S., - S.W., - N.W.,",,1,gravel,,2,193
3,3,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Ormsary House - Loch Killesport - Argyleshire - Clach Briach",,,,,,,,1,bank,"Campbell., Alexander",1,194
4,4,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Ormsary House - Big Boulder - ¢Big Boulder”",,,,,,,,1,,,2,194
5,5,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Ormsary House - Big Boulder - ¢Big Boulder”",16 x 12 x 8,,,,,,,1,,,3,194
6,6,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Killesport - Ormsury House - Ormsary House",,,,,,"W., - W.N.W.,",,1,,Alexander,4,194
7,7,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Baronlungart - Ormsary - Achoos",,,,,height above sea level : 60 feet,E. - W.,,1,,"Woe, E. and W.",5,194
8,8,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Edwnburgh - Session",,,,,,N.W.,,1,,,1,195
9,9,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - N.W.",,,,,,"N.W.,",,1,,,2,195
10,10,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - “Big Boulder”",,gneiss - schist,,,,,,1,,,3,195
11,11,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - D",10 x 10 x 10 - girth : 78 feet - height : 15 feet,,,,,,,1,,DBoulder D,4,195
12,12,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - D",,,,,,W.N.W.,,2,,,5,195
13,13,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - S.W. - N.W","17 x 8 x 8, 18 x 10 x 10",,,,,"S.W., - N.W.",,2,,,6,195
14,14,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Royal Sociely",,,,,,,,1,,,1,196
15,15,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Mull",,,,,height above sea level : 2500 feet - height above sea level : 3000 feet,W.N.W. - N.N.W.,,1,,,2,196
16,16,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Tign-na-Kain",,,,,,,,1,,,3,196
17,17,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - S.",18 x 11 x 8,,,,,"W. - S.,",,1,,,6,196
18,18,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Edinburgh - Session",,,,,height above sea level : 100 feet,"W. - E. - N.,",,1,,,1,197
19,19,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Taynish House - Loch Sweyn",,,,,height above sea level : 200 feet,,,2,,,5,197
20,20,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Ardrishaig - Loch Mhurrich",,,,,,"W.S. - W, - E.N.E,,",,1,,,6,197
21,21,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Keills",,,,,height above sea level : 100 feet,,,1,,,8,197
22,22,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq",,,,,height above sea level : 350 feet,"W.S.W.,",,1,,,1,198
23,23,"Mr ROBERT GRAY, Vice-President, By Mr A. Buchan. by Mr Milne Home. C. G. Campbell, Esq - Ardrishaig - Leck-na - W.S - *Leck-na- Ban,”",10 x 8 x 6,gneiss - schist,,,height above sea level : 300 feet,"W.S. - W,",,1,,,2,198
