,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,Southend - Campbelton - Montgomery,,,,,,,,1,,DMontgomery,1,3
1,1,detect,,granite - white felspar - mica,,,,,,1,,Moutgomery,2,3
2,2,River Conn - Penny - Bruneri,,,,,,,,1,,,3,3
3,3,Campbelton,,,,,,N.N.W.,,1,,Montgomery,2,4
4,4,Campbelton - Southend,,,,weight : 4 tons,,,,1,gravel,,3,4
5,5,Sonthend,,porphyry - white felspar,,,,,,1,gravel,,4,4
6,6,"Drackerie - Collielangart - Glenlissa - N.W. - Camphelton - “Londoun Geologieal Soeiety’s Journal” - ¢On Arran,”",high : 8 feet,granite,,,,"N.W. - N,",,1,,Dboulders,5,4
7,7,Southend - Old Red Sandstone - Cantyre,,white granite - Sandstone,,,,,,1,,,2,13
8,8,Kilhenzie - Campbelton,,detritus - gneiss - mica - schist,,weight : 150 tons,height above sea level : 600 feet,,,1,,,4,13
9,9,Old Red Sandstone - N.W,,Sandstone - detritus - granite - gneiss,,,,N.W.,,1,,,5,13
10,10,N.N.W.,height : 50 feet,gneiss - turf,,,,"N.N.W.,",,1,bank - gravel,,6,13
11,11,E. - S.,,gneiss - mica - schist,,,height above sea level : 40 feet,"N. - E. - S. - W,",,1,,,7,13
12,12,N.W. - S.E.,10 x 5 x 4 - wide : 6 feet,mica - schist - gneiss,,,,"N.W. - S.E., - N. - W, - S.W.",,1,pebbles,,8,13
13,13,N.E.,,,,,,N.E.,,1,,,1,14
14,14,N.E.,12 x 6 x 6,gneiss,,,,,,1,,,3,14
15,15,Cantyre,,,,,,,,1,,Heddle,4,14
16,16,Southend - Campbelton - Davar Island - Campbelton Bay,,,,,,,,1,,,5,14
17,17,Loch Lomond. - Arden,,quartz - granite - mica - schist,,,height above sea level : 150 feet,,,1,bank,,8,14
18,18,Arden - Over Balloch,5 x 4 x 4,granite,,,height above sea level : 337 feet,W.,,1,bank - bed,,2,15
19,19,Loch Long - Gareloch. - Loch Long I - E. - S. - W.,11 x 6 x 6 - Long : 6 feet,mica - slate,,,height above sea level : 160 feet,"N. - E. - S. - W.,",,1,clay - knoll - gravel,,3,15
20,20,Loch Long - Gareloch. - Loch Long I - E. - S. - W.,8 x 6 x 5,,,,height above sea level : 360 feet,,,1,knoll,,4,15
21,21,Gareloch - Shandon,18 x 15 x 12,gneiss,,,,N.N.W.,,1,,,5,15
22,22,Gareloch - Shandon,,,,,,,,1,,,6,15
23,23,Gareloch - Loch Long,,,,,,,,1,,Charles Maclaren,7,15
24,24,Loch Gair - Inveraray,,,,,,,,1,,"Loch Fyne., M‘Killop",9,15
25,25,Loch Fyne,23 x 17 x 12,gneiss - sand,,,,N.N.E. - S.S.W.,,1,knoll - gravel - sand,,1,16
26,26,Loch Glushan - N.E. - N.N.E,8 x 4 x 3 - height : 3 feet,,,,height above sea level : 400 feet,"N.E., - N.E. - N.N.E. - N.N.E,, - N.N.E.,",,1,,,2,16
27,27,Loch Glushan - N.E. - N.N.E,,,,,height above sea level : 1026 feet,,,1,,Corry na clach,4,16
28,28,Loch Awe,height : 50 feet,,,,,,,1,,,5,16
29,29,S.,,mica - schist,,,,"W, - S.",,1,,,1,17
30,30,Port Sonnachan,long : 12 feet - wide : 6 feet,gneiss,,,,N. - S.,,1,,,2,17
31,31,Port Sonnachan,,,,,,,,1,,,3,17
32,32,N.N.E,18 x 10 x 10,,,,height above sea level : 900 feet,"N.N.E. - N. - S. - N.N.E.,",,1,,,1,18
33,33,Hebrides - Argyleshire - N.W.,,,,,,N.W.,,1,,,3,18
34,34,Gareloch - Loch - Loch Awe,,,,,,N.N.E. - S.S.W. - W.,,1,,,4,18
35,35,Highland Railway - Killin - Dalmally - Luib station,,,,,,,,1,gravel,,6,18
36,36,Crianlarich - Tyndrum,,,,,,,,1,knoll - gravel,,1,19
37,37,Tyndrum - N.N.W. - Glencoe - Dalmally - Loch Awe - Loch Etive,,,,,height above sea level : 2000 feet,N.N.W.,,1,,,2,19
