,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,WEST HIGHLANDS - HEBRIDES,,,,,,,,1,,,1,3
1,1,grained - Iona,,granite - gneiss - slate,,,,,,1,clay,,1,4
2,2,grained - Iona,,granite,,,,,,1,,"Stewart, Coll",2,4
3,3,N.W,,,,,,N. - N.W.,,1,,,3,4
4,4,Ross of Mull - Iona - “ Dun-Ii”,,granite,,,,N.W.,,1,,,5,4
5,5,Coll - Iona,,granite - gneiss,,,height above sea level : 600 feet,"N.N,W. - S.W.",,1,,"Stewart, Coll",6,4
6,6,With II - N.W.,,,,,,N.W.,,1,knoll,,3,5
7,7,With II - N. - S. - N.N.W,9 x 4 x 5,granite - gneiss,volume : 180 cubic feet,,height above sea level : 360 feet,"W. - N., - S. - N.N.W,",,1,knoll,,6,5
8,8,With II - N. - S. - N.N.W,,,,,,,,2,,,8,5
9,9,With II - Heynish - W. - N.W. - E. and S.E.,,,,,,W. - N.W. - E. - S.E.,,1,,,9,5
10,10,With II - Heynish hill - Big Cornaig Road - *Drum- bum ”,10 x 6 x 6,gneiss,volume : 6 cubic - volume : 360 cubic feet,,height above sea level : 110 feet,,,1,knoll,,10,5
11,11,With II - N.E. - “The Giant’s Pebbles.”,,,,,,N.E.,,1,knoll - Pebbles,,11,5
12,12,With II - Barra - Tiréc - Tiree,high : 10 feet,,,,,S.E.,,3,pebbles - knoll,M‘Donald of Helipol,1,6
13,13,With II - Tiree - N.W - S.E. - ‘“Ben Gott”,,gneiss - sand,,,height above sea level : 130 feet,"N.W, - S.E. - N.W.",,1,stratified - sand - pebbles - shingle,Ben Gott,2,6
14,14,With II - Bein Meanach - DBen Hock - N.W.,,,,,height above sea level : 80 feet - height above sea level : 260 feet - height above sea level : 270 feet,N.W.,,2,,Fraser,2,7
15,15,With II - Bein Meanach - DBen Hock - N.W.,16 x 20 x 13,,,,,,,1,,Meanach,3,7
16,16,With II - N.W,,granite - gneiss,,,,"N.W,",,1,,,4,7
17,17,With II - Den Hock - Grassipol,,,,,,,,1,,"Fraser, Fraser",5,7
18,18,With II - N.E. - S.W. - N.W. - S.E.,height : 80 feet,,,,height above sea level : 80 feet,"S.E. - N.E. - S.W. - N.W. - N.W.,",,1,,,6,7
19,19,With II,,,,,,"N.,W.",,1,knoll,,2,8
20,20,With II - Arinagour - Bein Hock - Arnibost,,,,,,,,1,,,4,8
21,21,With II - Grassipol - Dein Hock - W.N.W.,,,,,height above sea level : 90 feet,W.N.W.,,1,,,5,8
22,22,With II - S.W.,length : 35 feet - width : 15 feet - height : 8 feet,granite - gneiss,,,,S.W. - S.E.,,1,,"Coll, Stewart",7,8
23,23,With II,,felspar - granite,,,,,,1,,Stewart,1,9
24,24,With II,,,,,,,,1,,"Macculloch, Coll",2,9
25,25,With II - Western Highlands - Boswell,,,,,,,,2,,Johnston,4,9
26,26,With II,,trap - red granite,,,,,,1,,Doswell,4,10
27,27,With II - Den Hock,,,,,,,,1,pebbles,,2,10
28,28,With II,high : 36 feet,,,,,,,50,bank - shingle,,2,11
29,29,With II - Staffa - Rum - Skye - Mull - DMull - Earth,,quartz - granite - blue schist - trap,,,,,,1,bed,Maceulloch,3,11
30,30,With II - Staffa - Mull,,,,,,,,1,,"Macculloch, James Hall, Macculloch",4,11
31,31,With II - BARRA,,,,,,,,1,,,1,12
32,32,With II - N.W. - N.E,,sand,,,height above sea level : 230 feet,"N.W., - N.E.",,1,gravel - sand,,3,12
33,33,With II - N.W. - N.E,height : 26 feet - length : 38 feet - width : 18 feet,,,weight : two tons - weight : 890 tons,,,,1,,,5,12
34,34,With II - N.W. - N.E,,,,,,"N.W, - N,",,1,,,6,12
35,35,With II - Den KErival,,Sand,,,height above sea level : 255 feet - height above sea level : 600 feet - height above sea level : 457 feet,,,1,knoll - gravel - Sand,,7,12
36,36,With II - Den KErival,,gneiss - granite,,,,,,1,,,8,12
37,37,With II - Den More,,sand,,,height above sea level : 330 feet,,,1,sand - gravel,,2,13
38,38,"With II - S., S.E. - S.W. - ‘¢Big Rock of the Glen”",,,,,,"S., - S.E., - S.W.,, - N. - W, - N.E,,",,1,bank,Ben Erival,5,13
39,39,With II - N.W,,,,,height above sea level : 255 feet,N.W.,,1,knoll,,8,13
40,40,With II - N.W,,sand,,,,,,1,bank - sand - gravel,,9,13
41,41,With II - S.E.,,,,,,S.E.,,1,knoll,,2,14
42,42,With II - N.E.,5 x 4 x 4,,,,,N.E.,,1,,,3,14
43,43,With II - N.E.,6 x 5 - height : 5 feet,,,,height above sea level : 228 feet,S.E.,,1,,,4,14
44,44,With II - N.W. - Den Erival,,,,,height above sea level : 500 feet,N.W.,,1,,,5,14
45,45,With II - Koligarry,20 x 10 x 5,,,,height above sea level : 330 feet,"W.S. - W, - N.W,, - S.E.",,1,,"Den More, MacGillivray",2,15
46,46,With II - Castle Bay - Barra,,,,,,"N. - W,",,1,,,3,15
47,47,With II - N.W.,,,,,,N.W.,,1,,,8,15
48,48,With II - Atlantic,wide : 100 feet,sand,,,,S.E.,,1,bed - sand - clay - pebbles,,2,16
49,49,With II - W.S.W.,,gneiss,,,,"W.N.W, - W.S.W.",,1,,,3,16
50,50,With II - W.S.W.,,,,,,,,1,,,4,16
51,51,With II,,,,,,"N. - W, - S.E.",,1,,,3,17
52,52,With II - S.W. - N.W,5 x 3 x 2,,,,height above sea level : 96 feet,"S.W. - N.W. - N.N.W,",,2,bank,,4,17
53,53,With II - N.W,,granite - gneiss,,,,N.W.,,1,,,5,17
54,54,With II - N.W. - N.E - Kennet,,,,,height above sea level : 202 feet - height above sea level : 890 feet,"N.W. - N.E,, - E.S.E.",,1,,,1,18
55,55,With II - N.W. - N.E - Kennet,,gneiss - granite,,,height above sea level : 300 feet,S.E.,,1,,,2,18
56,56,With II - N.W.,19 x 13 x 8,,,,height above sea level : 712 feet,N.W.,,1,,,3,18
57,57,With II - Free Church - DBarra - Loch Doisdale - Askernish,16 x 6 x 5,,,,,,,1,,,4,18
58,58,With II - Askernish,,,,,,"W.S. - W, - N.",,1,,,5,18
59,59,With II - N.W. - S.E,,,,,,"N.W. - S.E. - N.W.,",,1,,,6,18
60,60,With II - Mingary Hill - Askernish - N.W.,,,,,height above sea level : 600 feet,N.E. - N.W.,,3,knoll,,2,19
61,61,With II - N.W.,11 x 9 x 8,,,,height above sea level : 270 feet,"N.W., - N.W.",,1,,Drever,3,19
62,62,With II - Jocar - Ferry,,,,,,,,1,,"Alexander Carmichael, Esq., Creagorry",7,20
63,63,With II,,,,,,,,1,bed,,4,21
64,64,With II - Askernish,"14 x 12 x 8, 6 x 4",granite,,,height above sea level : 130 feet,N.W.,,2,knoll,,6,21
65,65,With II - Loch Eport - North Uist - N.W.,,,,,,"N.W., - S.E.",,1,knoll,,7,21
66,66,With II - Loch Maddy - North Uist,,,,,,"N.W., - S.E. - N.W.",,1,,,1,22
67,67,With II - Tiree - Hebrides,6 x 4 x 2,red sandstone - schist,,,,"W.N.W, - E.S.E,",,1,,William Bain,2,22
68,68,With II - Sandy - Rum - Skye - Canna,,red sandstone,,,,,,1,,,2,23
69,69,With II - Borve - Rodel - Tarbert,,gneiss,,,height above sea level : 800 feet,,,100,,,3,23
70,70,With II - Borve - Rodel - Tarbert,,,,,,,,1,,,4,23
