,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,"N.W. - East Loch Tarbert - Stonefield - ¢Capel Cloiche,”",,,,,height above sea level : 710 feet,N.W.,,1,,"Alexander, Campbell",2,3
1,1,breadth - S.,height : 8 feet,gneiss - slate - quartz,,,,N. - S.,,1,clay,,1,4
2,2,S.,height : 8 feet,gneiss - slate - quartz,,,,N. - S.,,1,clay,,1,4
3,3,S.,"14 x 9 x 8, 9 x 4 x 4",gneiss,,,height above sea level : 1200 feet,S.E.,,1,,,2,4
4,4,East Tarbert,,,,,,,,1,,,4,4
5,5,Tarbert - Onits N.W.,,,,,,N.W.,,2,,,3,4
6,6,East Tarbert - Grampian Hills,,heaps - trap,,,height above sea level : 300 feet,,,1,knoll - gravel,,2,5
7,7,Rothesay,4 x 2 x 2,,,,height above sea level : 730 feet,N.W. - S.E.,,1,gravel,,3,5
8,8,Farm of Taynish - Loch Sweyn - Tayvallock,high : 10 feet,,,,height above sea level : 50 feet,,,1,bank,Alexander,4,5
9,9,IlI,,mica - schist - granite,,,,,,1,,Ocui Hivis,5,5
10,10,East Tarbert - Grampian Hills,,heaps - trap,,,height above sea level : 300 feet,,,1,knoll - gravel,,2,5
11,11,North Ronaldshay - Orkney - Old Red Sandstone - S.W. - Heelabir - Sanday,,Sandstone - conglomerate - granite - mica - schist - quartz,,,,S.W.,,1,clay - pebbles,,1,6
12,12,SHETLAND,,,,,,,,1,,"Robert Bell, Esq.",4,6
13,13,Lunna,,,,,,,,1,,,3,7
14,14,S.E. - N.W. - St. Andrew’s,,gneiss,,weight : 10 tons,,S.E. - E.S.E.,,1,,Dr. Hedille,2,7
15,15,,,sandstone,,,,,,1,,,1,8
16,16,Boulder - Keiss - Freswick,,,,,,S.,,1,,Peter Gunn,2,8
17,17,River Nairn - Daviot - Clava - Culloden Moor - Craggie Burn - Strathnairn - Post-Pliocene,,sand,,,,,,1,bank - sand,Tom,1,9
18,18,Drommore - Ardersier - Fort George - Drummore - Clava - Scotland - Arctic America - Finmark - Spitzbergen - *The ¢ Tom reach ” - ¢Cumberland stone ”,,sand - Conglomerate,,,height above sea level : 400 feet - height above sea level : 487 feet,,,2,sand - bed - blue clay,"Tom, Messrs",3,9
19,19,Neiwghbourhood - Inverness,,conglomerate,,,,,,1,,Wallace,1,10
