,Numbers,Location,Size,Rocktype,Page_Number,Extra,BNum,Author,Verified
0,1,"I.—ISLAND OF IONA., - Dun-Ii hill ",,granite,4,clay,1,,CORRECT
1,3,I.—ISLAND OF IONA - East,,granite,4,,1,,CORRECT
2,5,II.—ISLAND OF TIREE. - NW Hill,"11 x 8 x 5, 9 x 4 x 5, 8 x 7 x 5",Granite,5,Gneiss,Several,,CORRECT
3,9,II.—ISLAND OF TIREE. - Heynish hill,10 x 6 x 6,light gneiss,5,dark gneiss,Several,,CORRECT
4,10,II.—ISLAND OF TIREE. - -  Heynish hill - NE,,,5,""" the giants Pebbles"", Legend - thrown from barra",Several,,CORRECT
5,11,II.—ISLAND OF TIREE. - NE,"4 x ( 10 high, 20 wide )",sand,6,pebbles,30,,CORRECT
6,12,II.—ISLAND OF TIREE. - “ Ben Gott” hill,,gneiss,6,,Several,,CORRECT
7,13,III.—ISLAND OF COLL. - - Bein Meanach,,Granite,7,Gneiss,2,,CORRECT
8,14,III.—ISLAND OF COLL. - - Bein Meanach,16 x 20 x 13,Granite,7,Gneiss,1,,CORRECT
9,16,III.—ISLAND OF COLL. - - East Ben Hock - Grassipol,1 x (30 high),Granite,7,Quartz,> 20,Fraser,CORRECT
10,19,III.—ISLAND OF COLL. - Arinagour - Arnibost,Small,Granite,8,,Few,,CORRECT
11,20,III.—ISLAND OF COLL. - - Grassipol,Large,Granite,8,,Several,,CORRECT
12,21,III.—ISLAND OF COLL. - - S.W.,35 x 15 x 8,"granite, felspar",8,"Gneiss, ?Destroyed",Several,,CORRECT
13,25,IV.—ISLAND OF STAFFA. - - Den Hock,Small,"Red Granite, Gneiss, Limestone, Quartzine",10,"Trap, pebbles, Most boulders transported or destroyed",Few,,INCORRECT
14,29,V.—ISLAND OF BARRA. - Ardmhor,Length :37 Breadth : 18 Height : 25,"Gneiss, Granite",12,"Gravel, Sand, ""Big Rock of the Glen""",1,,CORRECT
15,33,V.—ISLAND OF BARRA. - - Ben Erival,,Gneiss,12,"rock, gravel",Several,,CORRECT
16,37,V.—ISLAND OF BARRA. - Ardmhor W,,,13,Trap Knoll,Several,,CORRECT
17,40,V.—ISLAND OF BARRA. - Ardmhor N.E.,5 x 4 x 4,,14,,1,,CORRECT
18,41,V.—ISLAND OF BARRA. - - Ardmhor S.E.,8 x 6 x 5,,14,,1,,CORRECT
19,42,V.—ISLAND OF BARRA. - N.W. side of Ben Erival,,,14,,Several,,CORRECT
20,43,V.—ISLAND OF BARRA. - - Eoligarry farm,20 x 10 x 5,,15,,1,,CORRECT
21,44,V.—ISLAND OF BARRA. - - Castle Bay,Several,,15,,1,,CORRECT
22,45,V.—ISLAND OF BARRA. - - Scurrival Hill,,Gneiss,16,,Several,,INCORRECT
23,47,"VI.—ISLAND OF SOUTH UIST. - Loch Boisdale,",,,17,,Several,,CORRECT
24,48,"VI.—ISLAND OF SOUTH UIST. - - Loch Boisdale,",2 x (5 x 3 x 2),,17,,2,,CORRECT
25,49,"VI.—ISLAND OF SOUTH UIST. - - Loch Boisdale,",,granite,17,Gneiss,1,,CORRECT
26,51,VI.—ISLAND OF SOUTH UIST. - Kennet Hill,7 x 6 x 4,Granite,18,Gneiss,2,,CORRECT
27,52,VI.—ISLAND OF SOUTH UIST. - - Kennet Hill,19 x 13 x 8,,18,,1,,CORRECT
28,53,VI.—ISLAND OF SOUTH UIST. - - Free Church,16 x 6 x 5,,18,,Several,,CORRECT
29,54,VI.—ISLAND OF SOUTH UIST. - - Askernish,,,18,Striate,Several,,CORRECT
30,56,VI.—ISLAND OF SOUTH UIST. - - Mingary Hill,,,19,,Several,,CORRECT
31,57,VI.—ISLAND OF SOUTH UIST. - - Mingary Hill NW Spur,11 x 9 x 8,,19,Quartz,Several,,CORRECT
32,59,VI.—ISLAND OF SOUTH UIST. - Grogarry - Loch Skiport ,,Granite,21,Gneiss,7,,CORRECT
33,60,VI.—ISLAND OF SOUTH UIST. - - Askernish N.,14 x 12 x 8,granite,21,gneiss,2,,CORRECT
34,61,VI.—ISLAND OF SOUTH UIST. - - Loch Eport,,,21,Knoll,Several,,CORRECT
35,63,"VIIL.-—HARRIS, - - Rodel",,,23,,Several,,CORRECT
36,64,"VIIL.-—HARRIS, - - Borve",,gneiss,23,Layered,Several,,CORRECT
37,67,"VIIL.-—HARRIS, - - Lach Castle bay - SE Hill",,,24,,Several,,CORRECT
38,72,"VIIL.-—HARRIS, - - Lach Castle Valley",16 x 14 x 12,,25,,Several,,CORRECT
39,74,"VIIL.-—HARRIS, - - Tarbert S.",,granite,25,Gneiss,Several,,CORRECT
40,76,"VIIL.-—HARRIS, - Tarbet N",,gneiss,26,Granite,Several,,CORRECT
41,77,"VIIL.-—HARRIS, - Fincastle",,,26,,Several,,CORRECT
42,78,"IX, —ROAD FROM TARBERT TO STORNOWAY. - West Hills",,,27,,Several,,CORRECT
43,79,"IX, —ROAD FROM TARBERT TO STORNOWAY.  - Ardvourlie",,,27,,Trainee,,CORRECT
44,80,"IX, —ROAD FROM TARBERT TO STORNOWAY. - Soval",5 x 3 x 2,,27,,Several,,CORRECT
45,82,X.—NORTH PART OF THE LEWIS. - - Loch Ourn - Hill,7 x 5 x 4,,28,,Several,,CORRECT
46,83,X.—NORTH PART OF THE LEWIS. - - Loch Sheil,10 x 6 x 4,,28,,1,,INCORRECT
