,Numbers,Location,Size,Rocktype,Volume,Weight,Height above sea level,Compass,Distance,Number of Boulders mentioned,Extra,Author,Paragraph,Page
0,0,Town - Union Street - Huntly - Ballater - N.W.,6 x 5 x 4,black sienite,,,,N.W. - W.,,1,,Nicol,1,21
1,1,Aberdeen,6 x 5 x 4,black sienite,,,,N.W. - W.,,1,,(Reporter—Professor Nicol.),1,21
2,2,Town - Union Street - Huntly - Ballater - N.W.,6 x 5 x 4,black sienite,,,,N.W. - W.,,1,,Nicol,1,21
3,3,"Morven - Jamieson - ¢Geol. Soc. Jour.,”",,granite,,,height above sea level : 3000 feet,,,1,,,2,21
4,4,"Delhelvie - Gneiss - Caple Stone - Aberdeen - *“Caple Stone,”",diameter : 8 feet,Gneiss - granite,,,,,,1,,Alex. Cruickshanks,3,21
5,5,Sienite - King Street Road - Cavrney granite Quarry - Aberdeen,,Sienite - granite,,,height above sea level : 400 feet,N.W. - E.N.E. - W.S.W.,,1,clay,"Alex. Cruickshanks, Aber",4,21
6,6,"¢The Altar Stone,”” - ¢Wallace’s Putting Stane,” - “Piper’s Stone.”",16 x 6 - circumference : 21 feet,Greenstone - Whinstone,,weight : 20 tons,,E. - W.,,4,,Bourtie,6,21
7,7,¢Maiden Stane.”,,Whinstone,,,,,,1,,"Whinstone, Maiden Stane",7,21
8,8,Sluggan - Ben Avon,,granite - quartz,,,,,,4,,,1,22
9,9,"Chapel Garioch. - Boulder - Ellon - “The Hang- ) ing Stone,” - “The Gray Stone ry = - of Ardendraught,” - “ Hallow” - “Geol. Soc. Jonr.,” - ¢Saimh- theine,”” - *Deil-theine ”",19 x 151 x 114 - circumference : 37 feet - circumference : 54 feet,granite - greenstone,,,height above sea level : 114 feet,W.,,1,,Jamieson,2,22
10,10,"Chapel   Mr tons Cruden - Chapel Garioch. - Boulder - Ellon - “The Hang- ) ing Stone,” - “The Gray Stone ry = - of Ardendraught,” - “ Hallow” - “Geol. Soc. Jonr.,” - ¢Saimh- theine,”” - *Deil-theine ”",19 x 151 x 114 - circumference : 37 feet - circumference : 54 feet,granite - greenstone,,,height above sea level : 114 feet,W.,,1,,Jamieson,2,22
11,11,"Chapel   Mr tons Cruden - ““Geol. Boe. Jour.,”",circumference : 78 feet,,,,,,,1,,"Jamieson, Geol. Boe. Jour.",1,23
12,12,Chapel   Mr tons Cruden - Menie - *“Geol. Soc. Journ.”),,greenstone,,,,,,1,knoll - red clay - gravel,Jamieson,4,23
13,13,Chapel   Mr tons Cruden - Bullers - Buchan,14 x 8 x 5,granite,,,height above sea level : 15 feet,,,1,,,6,23
14,14,Chapel   Mr tons Cruden - DPeterhead,18 x 12 x 5,Granite,,,height above sea level : 290 feet,,,1,,"Dboulder, Cruden",7,23
15,15,Chapel   Mr tons Cruden - DPeterhead,13 x 9 - height : 9 feet,granite,,,height above sea level : 260 feet,E.,,1,,,8,23
16,16,Chapel   Mr tons Cruden - Peterhead Bay - Buchan Ness,,granite - gneiss - trap - sandstone,,,,,,1,,,9,23
17,17,Chapel   Mr tons Cruden - N.E. - S.W.,,,,,,N.E. - S.W.,,1,,,2,24
18,18,Chapel   Mr tons Cruden - Culsalmond - Garioch - Newton Stone,,blue gneiss,,,,,,1,,Nicol,3,24
19,19,Chapel   Mr tons Cruden - Ythan - Ebrie - W. - W.N.W,22 x 9,sienitic - greenstone - gneiss,,,,W. - W.N.W.,,1,,Jamieson,4,24
20,20,"Chapel   Mr tons Cruden - Huntly - Black Stones - Tod Hill - **Clachun Duwibl,”",Girth : 50 feet - height : 12 feet - Height : 1000 feet,,,,,,,5,,Clachun Duwibl,5,24
21,21,Chapel   Mr tons Cruden - Kemnay.,38 x 30 x 104 - 35 x 30 x 10 - 25 x 23 x 8 - 28 x 25 x 8 - 30 x 28 x 10 - 33 x 27 x 6 - 21 x 20 x 3,blue gneiss - granite,,,height above sea level : 300 feet - height above sea level : 325 feet - height above sea level : 325 feet - height above sea level : 325 feet - height above sea level : 360 feet - height above sea level : 360 feet - height above sea level : 600 feet,"E. - W. - N, - S. - N. - N.E. - S.W. - N.W.",,1,,"george Peter, M.A.",6,24
22,22,Chapel   Mr tons Cruden - Morven,high : 60 feet,sand - gneiss - granite - hornblende,,,height above sea level : 2850 feet,,,1,gravel - sand - pebbles,Michie,1,25
23,23,Chapel   Mr tons Cruden - Green of Savoch - Coldwells - Toddlehills - Ellon - “Blue Heathens.”,,,,,,S.E.,,1,,James Moir,2,25
24,24,Chapel   Mr tons Cruden - Appin.,,Granite,,,,N.E. - N.,,1,,"James M¢Dougall, James Alexander",1,26
25,25,"Chapel   Mr tons Cruden - ¢Giant’s Putting Stone,” - *Clachan Udalain”",,,,,,,,1,,Doulder,2,26
26,26,Chapel   Mr tons Cruden - Duncansburgh - Kilmallie - ¢Trystiug Stone.”,,Granite,,,,S.,,1,,"DPatrick Gordon, S. Duncanshburglh",3,26
27,27,Chapel   Mr tons Cruden - Dunoon - Kirn,,Trap - mica - schist - slate,,,,,,1,clay,James Hay,4,26
28,28,Chapel   Mr tons Cruden - Glencoe.,girth : 90 feet - high : 10 feet,Trap,,,,,,1,,Captain White,5,26
29,29,"Chapel   Mr tons Cruden - Inishail - North of Inverary - Putting Stone - Taynuilt Inn - Oban - *Rob Roy’s Putting Stone,” - ¢ Pulag’”",,Granite,,,height above sea level : 60 feet,E. - W.,,1,,Rob Roy,6,26
30,30,Chapel   Mr tons Cruden - “Craig nan Catlleach ”’,7 x 53,Gneiss,,,,,,1,,"John R. Thompson, Inellan",2,27
31,31,Chapel   Mr tons Cruden - Island,24 x 18 x 6,Granite - granite,,,,N.W.,,1,,Ross,3,27
32,32,Chapel   Mr tons Cruden - Kilbrandon - Easdale - Oban - Lord Breadalbane - N.W,girth : 28 feet,granite,,,,N.W.,,1,,"Alexander M‘Millan, Kilbrandon",4,27
